Client IP,Client Latitude,Client Longitude,Node Latitude,Node Longitude,Latency,Timestamp,Client Data
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,23.363µs,2024-12-28T21:48:24+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,25.461µs,2024-12-28T21:48:29+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,34.087µs,2024-12-28T21:48:34+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,32.407µs,2024-12-28T21:48:39+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,42.062µs,2024-12-28T21:48:44+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,24.171µs,2024-12-28T21:48:49+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,30.901µs,2024-12-28T21:48:54+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,31.032µs,2024-12-28T21:48:59+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,38.308µs,2024-12-28T21:49:04+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,15.477µs,2024-12-28T21:49:09+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,34.063µs,2024-12-28T21:49:14+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,31.632µs,2024-12-28T21:49:19+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,27.481µs,2024-12-28T21:49:24+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,37.912µs,2024-12-28T21:49:29+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,13.691µs,2024-12-28T21:49:34+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,28.283µs,2024-12-28T21:49:39+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,32.757µs,2024-12-28T21:49:44+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,34.398µs,2024-12-28T21:49:49+05:30,
[::1]:43860,40.712800,-74.006000,0.000000,0.000000,27.277µs,2024-12-28T21:49:54+05:30,
192.168.152.205:52982,40.712800,-74.006000,0.000000,0.000000,19.208µs,2024-12-28T21:52:54+05:30,"{""message"":""Node transfer notification"",""node_id"":""node-215058""}"
192.168.152.205:43866,40.712800,-74.006000,0.000000,0.000000,15.113µs,2024-12-28T21:54:16+05:30,"{""message"":""Node transfer notification"",""node_id"":""node-215329""}"
192.168.152.205:49594,40.712800,-74.006000,0.000000,0.000000,21.079µs,2024-12-28T21:56:12+05:30,"{""message"":""Node transfer notification"",""node_id"":""node-215329""}"
192.168.152.205:58470,40.712800,-74.006000,0.000000,0.000000,32.57µs,2024-12-28T22:05:52+05:30,"{""key"": ""value"", ""message"": ""Hello, server!""}"
